Date,COPPER,LEAD,Tin,NICKEL,Zinc,GOLD,PLATINUM,SILVER
2026-04-01,12950.96,1929.85,48805.89,17961.6,3363.81,4721.42,2027.66,75.86
2026-03-01,12528.71,1878.19,47323.68,17076.29,3182.26,4855.54,2046.01,77.881
2026-02-01,12951.35,1917.43,48694.34,17173.1,3323.71,5019.97,2137.33,81.946
2026-01-01,13012.0,1994.54,49538.44,17768.5,3212.68,4752.75,2433.83,92.062
2025-12-01,11785.25,1939.79,41219.52,14883.99,3167.87,4309.23,1893.43,62.342
2025-11-01,10812.03,1998.48,36963.22,14670.77,3176.84,4087.19,1564.79,50.432
2025-10-01,10739.91,1967.54,36011.92,15092.12,3152.0,4058.33,1615.55,49.439
2025-09-01,9983.79,1954.98,34483.91,15105.64,2932.96,3667.68,1434.91,42.816
2025-08-01,9669.56,1946.67,33833.76,14949.25,2789.15,3368.03,1342.53,38.185
2025-07-01,9770.58,1993.17,33610.26,15034.02,2762.56,3340.15,1390.99,37.698
2025-06-01,9835.07,1973.86,32544.03,15003.11,2654.65,3352.66,1251.48,36.005
2025-05-01,9532.98,1957.75,31981.17,15345.79,2644.37,3309.49,979.5,32.763
2025-04-01,9176.8,1903.46,32565.05,15113.29,2621.55,3217.64,958.81,32.225
2025-03-01,9739.68,2033.21,34047.87,16065.69,2889.29,2983.25,980.05,33.188
2025-02-01,9330.6,1956.55,31832.96,15288.09,2800.14,2894.73,978.25,32.152
2025-01-01,8991.41,1921.36,29612.36,15394.14,2818.96,2709.69,949.23,30.411
2024-12-01,8916.32,1990.43,28864.99,15444.89,3034.16,2648.01,937.88,30.764
2024-11-01,9075.73,1987.53,29654.89,15723.06,3004.2,2651.13,965.53,31.094
2024-10-01,9533.99,2034.0,32012.43,16765.8,3105.77,2690.08,998.91,32.416
2024-09-01,9237.48,2000.31,31471.69,16076.74,2837.02,2570.55,966.7,30.131
2024-08-01,8971.96,1994.63,31491.65,16292.12,2714.08,2470.15,945.36,28.53
2024-07-01,9385.31,2106.94,31860.47,16334.88,2777.27,2398.2,978.8,29.773
2024-06-01,9648.17,2147.1,32032.7,17498.01,2809.19,2326.44,985.08,29.577
2024-05-01,10139.33,2220.81,32977.51,19586.98,2959.13,2351.13,1014.68,29.36
2024-04-01,9464.43,2129.46,31774.5,18163.95,2732.74,2331.45,940.18,27.494
2024-03-01,8689.13,2056.2,27450.46,17438.83,2461.04,2158.01,908.75,24.518
